Date;Cours
04/01/2010;37.02
04/02/2010;36.11
04/03/2010;37.185
06/04/2010;38.205
04/05/2010;34.76
04/06/2010;33.765
05/07/2010;30.67
04/08/2010;33.35
03/09/2010;32.405
04/10/2010;31.04
04/11/2010;32.455
03/12/2010;31.76
04/01/2011;32.64
04/02/2011;33.81
04/03/2011;33.98
04/04/2011;34.30
04/05/2011;33.29
03/06/2011;31.395
04/07/2011;30.255
04/08/2011;23.825
05/09/2011;25.015
04/10/2011;24.18
04/11/2011;27.50
05/12/2011;24.455
04/01/2012;24.635
03/02/2012;25.36
05/03/2012;23.735
04/04/2012;21.71
04/05/2012;20.44
04/06/2012;19.14
04/07/2012;21.00
03/08/2012;20.775
04/09/2012;19.37
04/10/2012;19.56
05/11/2012;18.25
04/12/2012;19.085
04/01/2013;23.40
04/02/2013;20.38
04/03/2013;21.875
04/04/2013;20.87
03/05/2013;21.63
04/06/2013;20.06
04/07/2013;19.91
05/08/2013;22.92
04/09/2013;24.67
04/10/2013;26.65
04/11/2013;29.11
04/12/2013;26.265
03/01/2014;27.325
04/02/2014;28.18
04/03/2014;28.925
04/04/2014;30.835
05/05/2014;32.175
04/06/2014;33.00
04/07/2014;30.095
04/08/2014;28.405
04/09/2014;27.745
03/10/2014;25.08
04/11/2014;27.365
04/12/2014;29.925
05/01/2015;28.915
04/02/2015;32.645
04/03/2015;36.045
02/04/2015;37.075
04/05/2015;36.69
04/06/2015;35.075
03/07/2015;32.93
04/08/2015;33.515
04/09/2015;33.65
05/10/2015;32.875
04/11/2015;34.895
04/12/2015;34.15
04/01/2016;37.155
04/02/2016;34.415
