Date;Cours
04/01/2010;43.22
04/02/2010;41.375
04/03/2010;43.285
06/04/2010;45.365
04/05/2010;42.29
04/06/2010;42.84
05/07/2010;44.005
04/08/2010;43.825
03/09/2010;43.31
04/10/2010;43.375
04/11/2010;46.315
03/12/2010;46.385
04/01/2011;47.475
04/02/2011;44.97
04/03/2011;44.87
04/04/2011;46.365
04/05/2011;48.775
03/06/2011;50.36
04/07/2011;51.37
04/08/2011;48.21
05/09/2011;45.945
04/10/2011;45.31
04/11/2011;48.75
05/12/2011;48.365
04/01/2012;48.585
03/02/2012;48.625
05/03/2012;51.73
04/04/2012;51.94
04/05/2012;53.92
04/06/2012;50.37
04/07/2012;50.85
03/08/2012;49.66
04/09/2012;49.705
04/10/2012;47.425
05/11/2012;48.525
04/12/2012;49.335
04/01/2013;50.00
04/02/2013;50.30
04/03/2013;53.46
04/04/2013;54.71
03/05/2013;57.54
04/06/2013;56.69
04/07/2013;56.42
05/08/2013;59.42
04/09/2013;56.02
04/10/2013;55.47
04/11/2013;53.86
04/12/2013;52.34
03/01/2014;51.68
04/02/2014;48.70
04/03/2014;51.25
04/04/2014;51.59
05/05/2014;52.48
04/06/2014;54.33
04/07/2014;55.45
04/08/2014;53.93
04/09/2014;55.31
03/10/2014;52.00
04/11/2014;53.21
04/12/2014;55.65
05/01/2015;52.48
04/02/2015;59.00
04/03/2015;61.37
02/04/2015;63.40
04/05/2015;64.97
04/06/2015;62.38
03/07/2015;58.70
04/08/2015;62.94
04/09/2015;53.52
05/10/2015;58.33
04/11/2015;64.12
04/12/2015;62.75
04/01/2016;60.81
04/02/2016;61.75
